variable_name,variable,ground_truth,ground_truth_distribution_type,mean,std
The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US,Midpoint Salary,125685.70774091627,normal,120000.0,20000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public",single_0,133754.13194444444,normal,125000.0,10000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",single_1,115062.5,normal,120000.0,15000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue",single_2,116732.74774774775,normal,130000.0,20000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $500 million to $1 billion (USD) revenue",single_3,113268.88888888889,normal,125000.0,15000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 201 to 500 Employees",single_4,112262.5,normal,125000.0,10000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in Remote",single_5,118243.68421052632,normal,125000.0,20000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public",single_6,118950.32753623188,normal,120000.0,20000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue",single_7,135893.49512195121,normal,150000.0,20000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Manufacturing sector",single_8,118044.11764705883,normal,100000.0,15000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in VA",single_9,112807.69230769231,normal,125000.0,15000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Healthcare sector",single_10,117827.01190476191,normal,120000.0,15000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 1 to 50 Employees",single_11,115400.0,normal,100000.0,15000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in NY",single_12,143781.25,normal,125000.0,15000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in PA",single_13,109039.28787878787,normal,100000.0,15000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Retail & Wholesale sector",single_14,139015.625,normal,120000.0,15000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in CA",single_15,150660.61693548388,normal,160000.0,20000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 10000+ Employees",double_0,138975.45454545456,normal,145000.0,15000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company is not public",double_1,108505.234375,normal,140000.0,20000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company has 10000+ Employees",double_2,118297.25,normal,150000.0,15000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has 1 to 50 Employees",double_3,113714.28571428571,normal,100000.0,10000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has 10000+ Employees",double_4,112529.09042553192,normal,150000.0,20000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in the Healthcare sector",double_5,116711.14102564103,normal,115000.0,10000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company is public",double_6,139578.4756097561,normal,150000.0,10000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 1001 to 5000 Employees",double_7,118237.36842105263,normal,130000.0,20000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in CA",double_8,146107.8173076923,normal,135000.0,15000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company is in PA",double_9,110533.33333333333,normal,105000.0,10000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company has 10000+ Employees",double_10,135604.4896373057,normal,150000.0,15000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company is in CA",double_11,153948.75,normal,150000.0,15000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Financial Services sector, the company has 10000+ Employees",double_12,143354.83870967742,normal,140000.0,15000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Financial Services sector, the company is public",double_13,132852.9411764706,normal,135000.0,10000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Information Technology sector, the company is public",double_14,133413.73983739837,normal,115000.0,10000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in VA, the company is not public",double_15,110052.63157894737,normal,125000.0,15000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company has 1001 to 5000 Employees",double_16,113263.15789473684,normal,135000.0,10000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in the Aerospace & Defense sector",double_17,114908.16326530612,normal,120000.0,15000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Information Technology sector, the company has 10000+ Employees",double_18,138943.62637362638,normal,140000.0,15000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 10000+ Employees, the company is in CA",double_19,152904.9014084507,normal,170000.0,20000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has $10+ billion (USD) revenue, and the company has 10000+ Employees",triple_0,118251.32857142857,normal,140000.0,10000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company has 10000+ Employees, and the company is public",triple_1,139448.54430379748,normal,140000.0,10000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company is in CA, and the company has 10000+ Employees",triple_2,155810.33898305084,normal,150000.0,20000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in the Healthcare sector, and the company has 10000+ Employees",triple_3,118862.40322580645,normal,145000.0,15000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company is in CA, and the company is in the Information Technology sector",triple_4,149777.29166666666,normal,150000.0,10000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 10000+ Employees, the company has $10+ billion (USD) revenue, and the company is in the Information Technology sector",triple_5,141910.6349206349,normal,150000.0,20000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 10000+ Employees, the company is not public, and the company has $1 to $5 billion (USD) revenue",triple_6,106126.84782608696,normal,120000.0,15000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company is public, and the company is in CA",triple_7,151015.88235294117,normal,155000.0,15000.0
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 10000+ Employees, the company has $10+ billion (USD) revenue, and the company is in CA",triple_8,150605.63636363635,normal,180000.0,20000.0
