variable_name,variable,ground_truth,ground_truth_distribution_type,fitted_distribution_type,mu,sigma,mean,std,a,b
The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US,Midpoint Salary,125685.70774091627,normal,lognormal,11.695,0.3,125492.34002075167,38510.874474827324,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public",single_0,133754.13194444444,normal,lognormal,11.7,0.41,131143.83802332028,56109.78193533348,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",single_1,115062.5,normal,lognormal,11.78,0.3,136625.65232051068,41927.4462942242,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue",single_2,116732.74774774775,normal,lognormal,11.92,0.3,157156.90811606066,48228.04292523968,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $500 million to $1 billion (USD) revenue",single_3,113268.88888888889,normal,lognormal,11.695,0.3,125492.34002075167,38510.874474827324,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 201 to 500 Employees",single_4,112262.5,normal,lognormal,11.78,0.3,136625.65232051068,41927.4462942242,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in Remote",single_5,118243.68421052632,normal,lognormal,11.7,0.35,128187.5878322159,46275.38543451179,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public",single_6,118950.32753623188,normal,lognormal,11.7,0.3,126121.3729928006,38703.91103644614,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue",single_7,135893.49512195121,normal,lognormal,11.92,0.3,157156.90811606066,48228.04292523968,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Manufacturing sector",single_8,118044.11764705883,normal,lognormal,11.51,0.3,104297.2213818742,32006.55275092045,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in VA",single_9,112807.69230769231,normal,lognormal,11.61,0.3,115266.25590734494,35372.71128817139,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Healthcare sector",single_10,117827.01190476191,normal,lognormal,11.61,0.2,112420.32190882784,22710.789989156416,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 1 to 50 Employees",single_11,115400.0,normal,lognormal,11.513,0.2,102027.73835979268,20611.313858690315,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in NY",single_12,143781.25,normal,lognormal,11.92,0.3,157156.90811606066,48228.04292523968,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in PA",single_13,109039.28787878787,normal,lognormal,11.513,0.3,104610.58285320576,32102.71658279817,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Retail & Wholesale sector",single_14,139015.625,normal,lognormal,11.41,0.3,94372.02850349997,28960.726551374613,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in CA",single_15,150660.61693548388,normal,lognormal,11.7,0.3,126121.3729928006,38703.91103644614,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 10000+ Employees",double_0,138975.45454545456,normal,lognormal,11.85,0.5,158736.3613010583,84597.01195392346,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company is not public",double_1,108505.234375,normal,lognormal,11.92,0.3,157156.90811606066,48228.04292523968,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company has 10000+ Employees",double_2,118297.25,normal,lognormal,11.736,0.3,130744.45868044942,40122.63565799653,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has 1 to 50 Employees",double_3,113714.28571428571,normal,lognormal,11.513,0.3,104610.58285320576,32102.71658279817,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has 10000+ Employees",double_4,112529.09042553192,normal,lognormal,11.85,0.3,146532.1298829419,44967.529169652254,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in the Healthcare sector",double_5,116711.14102564103,normal,lognormal,11.78,0.3,136625.65232051068,41927.4462942242,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company is public",double_6,139578.4756097561,normal,lognormal,11.92,0.3,157156.90811606066,48228.04292523968,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 1001 to 5000 Employees",double_7,118237.36842105263,normal,lognormal,11.69,0.4,129314.15075081984,53865.33894115567,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in CA",double_8,146107.8173076923,normal,lognormal,11.78,0.3,136625.65232051068,41927.4462942242,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company is in PA",double_9,110533.33333333333,normal,lognormal,11.61,0.5,124866.44436373908,66546.36656593645,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company has 10000+ Employees",double_10,135604.4896373057,normal,lognormal,11.92,0.2,153276.69022931982,30964.46143299752,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company is in CA",double_11,153948.75,normal,lognormal,11.92,0.3,157156.90811606066,48228.04292523968,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Financial Services sector, the company has 10000+ Employees",double_12,143354.83870967742,normal,lognormal,11.7,0.3,126121.3729928006,38703.91103644614,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Financial Services sector, the company is public",double_13,132852.9411764706,normal,lognormal,11.92,0.3,157156.90811606066,48228.04292523968,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Information Technology sector, the company is public",double_14,133413.73983739837,normal,lognormal,11.7,0.3,126121.3729928006,38703.91103644614,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in VA, the company is not public",double_15,110052.63157894737,normal,lognormal,11.78,0.3,136625.65232051068,41927.4462942242,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company has 1001 to 5000 Employees",double_16,113263.15789473684,normal,lognormal,11.695,0.3,125492.34002075167,38510.874474827324,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in the Aerospace & Defense sector",double_17,114908.16326530612,normal,lognormal,11.7,0.4,130613.77957221285,54406.69459755962,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Information Technology sector, the company has 10000+ Employees",double_18,138943.62637362638,normal,lognormal,11.92,0.3,157156.90811606066,48228.04292523968,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 10000+ Employees, the company is in CA",double_19,152904.9014084507,normal,lognormal,11.92,0.3,157156.90811606066,48228.04292523968,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has $10+ billion (USD) revenue, and the company has 10000+ Employees",triple_0,118251.32857142857,normal,lognormal,11.92,0.3,157156.90811606066,48228.04292523968,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company has 10000+ Employees, and the company is public",triple_1,139448.54430379748,normal,lognormal,11.92,0.3,157156.90811606066,48228.04292523968,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company is in CA, and the company has 10000+ Employees",triple_2,155810.33898305084,normal,lognormal,11.92,0.3,157156.90811606066,48228.04292523968,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in the Healthcare sector, and the company has 10000+ Employees",triple_3,118862.40322580645,normal,lognormal,11.7,0.4,130613.77957221285,54406.69459755962,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company is in CA, and the company is in the Information Technology sector",triple_4,149777.29166666666,normal,lognormal,11.78,0.25,134759.90600217157,34223.30132818695,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 10000+ Employees, the company has $10+ billion (USD) revenue, and the company is in the Information Technology sector",triple_5,141910.6349206349,normal,lognormal,11.92,0.3,157156.90811606066,48228.04292523968,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 10000+ Employees, the company is not public, and the company has $1 to $5 billion (USD) revenue",triple_6,106126.84782608696,normal,lognormal,11.918,0.35,159412.4264574263,57547.470875446365,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company is public, and the company is in CA",triple_7,151015.88235294117,normal,lognormal,11.92,0.3,157156.90811606066,48228.04292523968,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 10000+ Employees, the company has $10+ billion (USD) revenue, and the company is in CA",triple_8,150605.63636363635,normal,lognormal,11.92,0.3,157156.90811606066,48228.04292523968,,
